State,Action,QValue
14228,4,0
14246,2,-0.3
14246,4,0
14252,2,-1
14252,4,-1
14254,2,-1
14254,4,-1
14300,2,-1
14306,2,-1
14308,2,-0.51
14324,2,-1
14326,2,-1
14332,2,-1
14462,2,10
14462,4,0
14468,2,10
14468,4,0
14470,2,0
14470,4,0
14486,2,-1
14486,4,-1
14488,2,-1
14488,4,-1
14494,2,-1
14494,4,-1
14540,2,-1
14542,2,-0.3
14548,2,0
14566,2,0
14948,4,-1
14954,4,-1
14956,4,-1
14972,4,-0.3
14974,4,-1
14980,4,-1
15188,4,-1
15190,4,-1
15196,4,-0.12864
15214,4,0
15686,1,0
15686,4,0
15686,5,0
15704,1,-0.999906
15704,4,-0.999866
15710,1,-0.999984
15710,4,-0.999977
15712,1,-1
15712,4,-1
15758,1,-1
15758,5,-1
15764,1,-1
15764,5,-1
15766,1,-1
15766,5,-1
15782,1,-0.3
15784,1,-1
15790,1,-1
15920,1,0
15920,4,0
15920,5,0
15926,1,0
15926,4,0
15926,5,0
15944,1,-0.999954
15944,4,-0.999954
15946,1,-1
15946,4,-1
15952,1,-1
15952,4,-1
15998,1,-1
15998,5,-1
16000,1,-1
16000,5,-1
16006,1,-0.3
16006,5,0
16024,1,-1
16190,4,-0.99886
16190,6,-0.99886
16196,4,-1
16198,4,-1
16244,6,-0.999934
16268,6,-1
16270,6,-1
16334,1,7
16334,3,0
16334,5,0
16352,1,-0.997674
16352,2,-0.996677
16352,3,-0.996677
16352,6,-0.996677
16358,1,-1
16358,2,-1
16358,3,-1
16358,7,-1
16360,1,-1
16360,2,-1
16360,3,-1
16360,8,-1
16388,2,10
16388,4,0
16424,3,-0.999954
16424,4,-0.999954
16436,4,-1
16440,4,-1
16460,2,-0.993218
16466,2,-1
16468,2,-1
16468,8,-1
16478,3,0
16494,5,0
16502,3,-0.999997
16502,7,-0.999997
16504,3,-1
16508,6,-0.999984
16516,8,-1
16518,7,-1
16568,1,-0.3
16568,5,6.99937
16568,6,0
16574,1,7
16574,5,0
16574,7,0
16576,1,-0.3
16576,8,0
16592,1,-1
16592,2,-1
