Game,TotalReward,WinRate
1090,6,0.62
1091,-51,0.62
1092,-75,0.62
1093,-14,0.62
1094,-77,0.62
1095,6,0.62
1096,2,0.62
1097,-6,0.62
1098,-57,0.62
1099,-4,0.62
1100,3,0.62
1101,-80,0.66
1102,-61,0.66
1103,-82,0.66
1104,-3,0.66
1105,-22,0.66
1106,-24,0.66
1107,-34,0.66
1108,-7,0.66
1109,-21,0.66
1110,-16,0.66
1111,3,0.66
1112,-6,0.66
1113,4,0.66
1114,-29,0.66
1115,6,0.66
1116,-84,0.66
1117,3,0.66
1118,-26,0.66
1119,-84,0.66
1120,6,0.66
1121,-29,0.66
1122,-31,0.66
1123,-35,0.66
1124,6,0.66
1125,-14,0.66
1126,-51,0.66
1127,-30,0.66
1128,6,0.66
1129,-57,0.66
1130,-100,0.66
1131,-147,0.66
1132,-27,0.66
1133,6,0.66
1134,6,0.66
1135,2,0.66
1136,-46,0.66
1137,6,0.66
1138,-13,0.66
1139,-46,0.66
1140,6,0.66
1141,6,0.66
1142,-90,0.66
1143,-42,0.66
1144,-195,0.66
1145,-119,0.66
1146,6,0.66
1147,-41,0.66
1148,-13,0.66
1149,3,0.66
1150,-20,0.66
1151,-61,0.66
1152,-17,0.66
1153,6,0.66
1154,-35,0.66
1155,6,0.66
1156,-25,0.66
1157,-47,0.66
1158,-98,0.66
1159,-47,0.66
1160,-113,0.66
1161,-16,0.66
1162,-8,0.66
1163,-6,0.66
1164,6,0.66
1165,-43,0.66
1166,-20,0.66
1167,-20,0.66
1168,-34,0.66
1169,6,0.66
1170,6,0.66
1171,5,0.66
1172,-1,0.66
1173,-3,0.66
1174,-60,0.66
1175,-32,0.66
1176,-40,0.66
1177,6,0.66
1178,-7,0.66
1179,-32,0.66
1180,6,0.66
1181,6,0.66
1182,6,0.66
1183,6,0.66
1184,3,0.66
1185,6,0.66
1186,6,0.66
1187,-16,0.66
1188,-50,0.66
1189,-3,0.66
1190,-10,0.66
1191,3,0.66
1192,-83,0.66
1193,-90,0.66
1194,-31,0.66
1195,-87,0.66
1196,-45,0.66
1197,-110,0.66
1198,-6,0.66
1199,-3,0.66
1200,5,0.66
1201,-20,0.6
1202,2,0.6
1203,-8,0.6
1204,-104,0.6
1205,-7,0.6
1206,-12,0.6
1207,-33,0.6
1208,-17,0.6
1209,-105,0.6
1210,6,0.6
1211,-45,0.6
1212,-12,0.6
1213,-6,0.6
1214,0,0.6
1215,-3,0.6
1216,-122,0.6
1217,-47,0.6
1218,-55,0.6
1219,-27,0.6
1220,-10,0.6
1221,1,0.6
1222,-51,0.6
1223,-84,0.6
1224,-6,0.6
1225,-59,0.6
1226,-211,0.6
1227,-41,0.6
1228,-21,0.6
1229,6,0.6
1230,-97,0.6
1231,-124,0.6
1232,2,0.6
1233,-65,0.6
1234,-67,0.6
1235,6,0.6
1236,-177,0.6
1237,-19,0.6
1238,-51,0.6
1239,6,0.6
1240,6,0.6
1241,6,0.6
1242,-16,0.6
1243,-111,0.6
1244,2,0.6
1245,2,0.6
1246,-87,0.6
1247,3,0.6
1248,6,0.6
1249,-3,0.6
1250,-126,0.6
1251,-61,0.6
1252,-65,0.6
1253,-85,0.6
1254,-20,0.6
1255,-70,0.6
1256,-130,0.6
1257,3,0.6
1258,6,0.6
1259,-66,0.6
1260,-38,0.6
1261,-6,0.6
1262,6,0.6
1263,-46,0.6
1264,-6,0.6
1265,6,0.6
1266,-3,0.6
1267,6,0.6
1268,-78,0.6
1269,-61,0.6
1270,-73,0.6
1271,5,0.6
1272,6,0.6
1273,-20,0.6
1274,-3,0.6
1275,6,0.6
1276,-19,0.6
1277,-152,0.6
1278,-29,0.6
1279,3,0.6
1280,6,0.6
1281,6,0.6
1282,6,0.6
1283,6,0.6
1284,-10,0.6
1285,-7,0.6
1286,-34,0.6
1287,-61,0.6
1288,-39,0.6
1289,6,0.6
1290,-33,0.6
1291,-65,0.6
1292,3,0.6
1293,3,0.6
1294,-15,0.6
1295,-3,0.6
1296,-52,0.6
1297,6,0.6
1298,-18,0.6
1299,6,0.6
1300,-15,0.6
1301,3,0.71
1302,-6,0.71
1303,-46,0.71
1304,-7,0.71
1305,6,0.71
1306,-18,0.71
1307,6,0.71
1308,-8,0.71
1309,-56,0.71
1310,-59,0.71
1311,-4,0.71
1312,-17,0.71
1313,0,0.71
1314,-79,0.71
1315,-3,0.71
1316,-1,0.71
1317,-1,0.71
1318,-19,0.71
1319,-53,0.71
1320,6,0.71
1321,1,0.71
1322,3,0.71
1323,-19,0.71
1324,-69,0.71
1325,-137,0.71
1326,-15,0.71
1327,5,0.71
1328,-6,0.71
1329,-69,0.71
1330,-61,0.71
1331,-17,0.71
1332,-3,0.71
1333,-56,0.71
1334,3,0.71
1335,6,0.71
1336,-52,0.71
1337,1,0.71
1338,2,0.71
1339,6,0.71
1340,-82,0.71
1341,3,0.71
1342,-96,0.71
1343,-14,0.71
1344,6,0.71
1345,-29,0.71
1346,-92,0.71
1347,6,0.71
1348,3,0.71
1349,-78,0.71
1350,-132,0.71
1351,-9,0.71
1352,6,0.71
1353,-48,0.71
1354,6,0.71
1355,-3,0.71
1356,-14,0.71
1357,-105,0.71
1358,-10,0.71
1359,-26,0.71
1360,-309,0.71
1361,6,0.71
1362,6,0.71
1363,-7,0.71
1364,-23,0.71
1365,-16,0.71
1366,6,0.71
1367,-4,0.71
1368,-32,0.71
1369,-26,0.71
1370,-81,0.71
1371,-54,0.71
1372,6,0.71
1373,-4,0.71
1374,-48,0.71
1375,6,0.71
1376,6,0.71
1377,-10,0.71
1378,-53,0.71
1379,-5,0.71
1380,-37,0.71
1381,6,0.71
1382,-49,0.71
1383,1,0.71
1384,3,0.71
1385,-47,0.71
1386,6,0.71
1387,-28,0.71
1388,-56,0.71
1389,-27,0.71
1390,2,0.71
1391,-48,0.71
1392,-97,0.71
1393,-30,0.71
1394,-3,0.71
1395,-13,0.71
1396,-3,0.71
1397,-98,0.71
1398,6,0.71
1399,-3,0.71
1400,2,0.71
1401,-4,0.69
1402,-74,0.69
1403,-56,0.69
1404,-46,0.69
1405,1,0.69
1406,-4,0.69
1407,6,0.69
1408,-11,0.69
1409,-7,0.69
1410,-37,0.69
1411,-56,0.69
1412,6,0.69
1413,6,0.69
1414,-13,0.69
1415,6,0.69
1416,-12,0.69
1417,-12,0.69
1418,-227,0.69
1419,-136,0.69
1420,-16,0.69
1421,-13,0.69
1422,-61,0.69
1423,-33,0.69
1424,-3,0.69
1425,6,0.69
