Game,TotalReward,WinRate
143,-68,0.62
144,-26,0.62
145,6,0.62
146,-53,0.62
147,-34,0.62
148,-19,0.62
149,6,0.62
150,-56,0.62
151,-16,0.62
152,-209,0.62
153,-60,0.62
154,-28,0.62
155,-6,0.62
156,6,0.62
157,-12,0.62
158,-20,0.62
159,-3,0.62
160,-3,0.62
161,-5,0.62
162,-32,0.62
163,6,0.62
164,-59,0.62
165,-5,0.62
166,-43,0.62
167,-19,0.62
168,6,0.62
169,-13,0.62
170,6,0.62
171,-5,0.62
172,-3,0.62
173,3,0.62
174,-39,0.62
175,-2,0.62
176,-54,0.62
177,6,0.62
178,6,0.62
179,2,0.62
180,6,0.62
181,-10,0.62
182,6,0.62
183,-6,0.62
184,-3,0.62
185,6,0.62
186,-33,0.62
187,3,0.62
188,-112,0.62
189,-9,0.62
190,-48,0.62
191,-3,0.62
192,-32,0.62
193,-6,0.62
194,-26,0.62
195,-17,0.62
196,6,0.62
197,-54,0.62
198,-29,0.62
199,2,0.62
200,-13,0.62
201,-83,0.61
202,6,0.61
203,-47,0.61
204,6,0.61
205,-18,0.61
206,-103,0.61
207,3,0.61
208,-52,0.61
209,-3,0.61
210,-57,0.61
211,-13,0.61
212,6,0.61
213,6,0.61
214,-32,0.61
215,-75,0.61
216,6,0.61
217,1,0.61
218,-16,0.61
219,1,0.61
220,6,0.61
221,3,0.61
222,-202,0.61
223,-137,0.61
224,6,0.61
225,-27,0.61
226,-9,0.61
227,-3,0.61
228,-3,0.61
229,-137,0.61
230,-11,0.61
231,6,0.61
232,-154,0.61
233,-36,0.61
234,6,0.61
235,6,0.61
236,-21,0.61
237,-5,0.61
238,6,0.61
239,-35,0.61
240,6,0.61
241,-3,0.61
242,-4,0.61
243,-29,0.61
244,-12,0.61
245,6,0.61
246,-58,0.61
247,-15,0.61
248,-48,0.61
249,6,0.61
250,-77,0.61
251,6,0.61
252,-116,0.61
253,6,0.61
254,-30,0.61
255,-8,0.61
256,-3,0.61
257,0,0.61
258,6,0.61
259,3,0.61
260,-35,0.61
261,-39,0.61
262,-109,0.61
263,4,0.61
264,-10,0.61
265,-31,0.61
266,-7,0.61
267,-9,0.61
268,6,0.61
269,0,0.61
270,-35,0.61
271,-23,0.61
272,-45,0.61
273,-32,0.61
274,-18,0.61
275,-44,0.61
276,-9,0.61
277,-18,0.61
278,-55,0.61
279,6,0.61
280,-76,0.61
281,-35,0.61
282,-42,0.61
283,-20,0.61
284,-111,0.61
285,-9,0.61
286,-28,0.61
287,-3,0.61
288,-40,0.61
289,-7,0.61
290,-31,0.61
291,0,0.61
292,6,0.61
293,-7,0.61
294,-21,0.61
295,-46,0.61
296,-26,0.61
297,6,0.61
298,-76,0.61
299,-102,0.61
300,-54,0.61
301,6,0.69
302,3,0.69
303,-13,0.69
304,6,0.69
305,6,0.69
306,-21,0.69
307,6,0.69
308,-3,0.69
309,-61,0.69
310,-47,0.69
311,-52,0.69
312,6,0.69
313,-18,0.69
314,6,0.69
315,-7,0.69
316,6,0.69
317,6,0.69
318,6,0.69
319,-2,0.69
320,-12,0.69
321,6,0.69
322,-7,0.69
323,-22,0.69
324,-37,0.69
325,2,0.69
326,-105,0.69
327,-84,0.69
328,-59,0.69
329,-6,0.69
330,-28,0.69
331,-3,0.69
332,-22,0.69
333,-47,0.69
334,6,0.69
335,-35,0.69
336,-94,0.69
337,3,0.69
338,-69,0.69
339,-64,0.69
340,-46,0.69
341,-24,0.69
342,-10,0.69
343,-39,0.69
344,-6,0.69
345,-19,0.69
346,-7,0.69
347,-43,0.69
348,6,0.69
349,6,0.69
350,3,0.69
351,-17,0.69
352,0,0.69
353,-40,0.69
354,6,0.69
355,-30,0.69
356,-109,0.69
357,6,0.69
358,-22,0.69
359,-20,0.69
360,-26,0.69
361,-8,0.69
362,-8,0.69
363,3,0.69
364,3,0.69
365,6,0.69
366,-25,0.69
367,-29,0.69
368,6,0.69
369,-52,0.69
370,-34,0.69
371,-34,0.69
372,-101,0.69
